# Optical constants for Co created by PTB
# Reconstructed from reflection measurements in the wavelength range 8 - 25 nm
# 40 nm Co thin film in a multilayer on Si (C/ Co/ Ru/ Si) (measured 4/2022)
# n = (1-delta) - (i*beta)
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
19.44	0.95921	0.17383	0.9582	0.96027	0.17331	0.17437
19.48	0.96092	0.17506	0.95982	0.96194	0.17451	0.17556
19.52	0.96255	0.17629	0.96147	0.96358	0.17577	0.17682
19.56	0.96433	0.17747	0.96329	0.96541	0.17697	0.17803
19.6	0.96627	0.17853	0.9652	0.96737	0.17802	0.17903
19.64	0.96807	0.17961	0.96696	0.96917	0.17911	0.18014
19.68	0.96993	0.18075	0.96886	0.97108	0.18021	0.1813
19.72	0.97217	0.18134	0.9711	0.97326	0.18084	0.18184
19.76	0.97437	0.18209	0.97328	0.97551	0.18158	0.18263
19.8	0.97656	0.18281	0.97539	0.97772	0.18229	0.18336
19.84	0.97881	0.18344	0.9777	0.97995	0.18293	0.18395
19.88	0.9813	0.18393	0.98017	0.98247	0.18342	0.18443
19.92	0.98368	0.18442	0.98243	0.98487	0.18385	0.18498
19.96	0.98637	0.1846	0.98518	0.98756	0.18411	0.18518
20.0	0.9903	0.18387	0.9891	0.99159	0.18336	0.18441
20.02	0.99099	0.18491	0.98888	0.99311	0.18392	0.18592
20.04	0.99224	0.185	0.99003	0.99435	0.18398	0.18593
20.06	0.99368	0.18508	0.99151	0.99586	0.18403	0.18606
20.08	0.995	0.18532	0.99271	0.99715	0.18426	0.18641
20.1	0.99653	0.185	0.99415	0.99864	0.18403	0.18595
20.12	0.99804	0.18497	0.99581	1.00018	0.18395	0.186
20.14	0.99944	0.18491	0.99728	1.00161	0.18389	0.18596
20.16	1.00114	0.18464	0.99901	1.00344	0.18358	0.18563
20.18	1.00259	0.18448	1.0003	1.00487	0.18337	0.18553
20.2	1.0042	0.18438	1.00184	1.00646	0.18323	0.18548
20.22	1.00577	0.18373	1.00344	1.00814	0.18259	0.18477
20.24	1.00738	0.18348	1.00499	1.00967	0.18238	0.18461
20.26	1.00907	0.18286	1.00686	1.01155	0.18174	0.18399
20.28	1.01062	0.18236	1.0083	1.01286	0.18124	0.1834
20.3	1.01225	0.18178	1.00997	1.01457	0.18066	0.18288
20.32	1.01365	0.18138	1.01133	1.01607	0.1801	0.18248
20.34	1.01522	0.18041	1.01301	1.01748	0.17923	0.18158
20.36	1.01678	0.17962	1.0145	1.01916	0.17843	0.18078
20.38	1.01822	0.17874	1.01602	1.0205	0.17747	0.17998
20.4	1.01971	0.17786	1.01746	1.0219	0.17668	0.17909
20.42	1.02116	0.17689	1.01899	1.02355	0.17565	0.17808
20.44	1.02251	0.17609	1.02009	1.0249	0.17481	0.17726
20.46	1.02368	0.17493	1.0213	1.026	0.17369	0.17626
20.48	1.02504	0.17396	1.02278	1.02733	0.17274	0.17514
20.5	1.02614	0.1728	1.0237	1.02832	0.17142	0.17405
20.52	1.02747	0.17176	1.02517	1.02985	0.17049	0.17315
20.54	1.02856	0.17087	1.0264	1.03079	0.16954	0.17214
20.56	1.02976	0.16997	1.02751	1.03219	0.1687	0.17127
20.58	1.0309	0.16866	1.02876	1.03302	0.16736	0.16994
