# Optical constants for SiN created by PTB
# Reconstructed from reflection measurements in the wavelength range 5.0 - 33.0 nm
# 40 nm SiN thin film on Si  (measured 2024)
# n = (1-delta) - (i*beta)
# Citation: Q. Saadeh, V. Philipsen, J. Meersschaut, V. S. K. Channam, K.-A. Kantre, A. Sokolov, B. Kupper, T. Wiesner, D. O. García, Z. Salami, C. Buchholz, F. Scholze, and V. Soltwisch, "Optical constants of TiN, amorphous SiO2, and SiN in the extreme ultraviolet range," Appl. Opt. 63(36), 9210-9222 (2024).
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
11.7132	0.99167	0.01204	0.99234	0.99103	0.0115	0.01258
11.7243	0.99196	0.01169	0.99245	0.9915	0.01132	0.01207
11.7354	0.99214	0.01114	0.9926	0.99168	0.01078	0.01153
11.7465	0.99214	0.01071	0.99258	0.99167	0.01037	0.01108
11.7576	0.99193	0.0105	0.99241	0.99149	0.01013	0.01088
11.7688	0.99168	0.01059	0.99218	0.99124	0.01025	0.01096
11.78	0.99158	0.01087	0.99209	0.9911	0.01047	0.01128
11.7912	0.99164	0.01124	0.99218	0.99114	0.01082	0.01163
11.8024	0.99181	0.01159	0.99257	0.99111	0.01105	0.01217
11.8249	0.99245	0.01231	0.99331	0.9917	0.01175	0.01294
11.8475	0.99348	0.01288	0.99441	0.99263	0.01231	0.01354
11.8702	0.99469	0.01303	0.99562	0.99383	0.01241	0.01373
11.893	0.99582	0.0128	0.99684	0.9949	0.01221	0.01348
11.9158	0.99696	0.01228	0.99787	0.99612	0.01166	0.0129
11.9388	0.99759	0.01113	0.99836	0.99686	0.01059	0.01174
11.9618	0.99748	0.00983	0.99809	0.99685	0.00927	0.01039
11.9849	0.99714	0.00865	0.99769	0.99666	0.0082	0.00916
12.0082	0.99661	0.00747	0.99702	0.99622	0.00705	0.00792
12.0315	0.99567	0.00644	0.996	0.99537	0.00609	0.00684
12.0549	0.99487	0.00586	0.99516	0.99459	0.00552	0.0062
12.0783	0.99426	0.00535	0.9945	0.99402	0.00506	0.00568
12.1019	0.99344	0.00488	0.99366	0.99323	0.00462	0.00518
12.1256	0.99277	0.00474	0.99299	0.99256	0.00451	0.00503
12.1495	0.99226	0.00469	0.99248	0.99205	0.00446	0.00496
12.1733	0.99181	0.00471	0.99202	0.9916	0.00446	0.00499
12.1973	0.99148	0.00477	0.99167	0.99128	0.00453	0.00504
12.2213	0.99132	0.00477	0.99151	0.99113	0.00454	0.00503
12.2455	0.99087	0.00456	0.99106	0.99069	0.0043	0.00484
12.2697	0.99049	0.00451	0.99067	0.99034	0.00426	0.00478
12.4	0.9883	0.00488	0.98842	0.9882	0.00469	0.00507
12.5	0.98715	0.00476	0.98727	0.98703	0.00456	0.00497
12.6	0.9863	0.00504	0.98643	0.98618	0.00482	0.00528
12.7	0.98552	0.00505	0.98567	0.98537	0.00486	0.00527
12.8	0.98482	0.00519	0.98497	0.98467	0.00497	0.00546
12.9	0.98415	0.00539	0.98431	0.98399	0.00513	0.00566
13.0	0.98351	0.0055	0.98368	0.98335	0.00523	0.00577
13.5	0.98071	0.00626	0.9809	0.98051	0.00597	0.00658
14.0	0.97819	0.00711	0.97841	0.97796	0.00676	0.00746
14.5	0.97579	0.00802	0.97604	0.97555	0.00764	0.00842
15.0	0.97344	0.00896	0.97371	0.97316	0.00855	0.0094
15.5	0.97116	0.01003	0.97147	0.97085	0.00959	0.01049
16.0	0.96889	0.0111	0.96924	0.96853	0.01062	0.01157
16.5	0.96672	0.01226	0.96729	0.96619	0.01157	0.01301
17.0	0.96449	0.01347	0.96505	0.96394	0.01277	0.01429
17.5	0.96226	0.01458	0.96286	0.96168	0.01376	0.01541
18.0	0.9599	0.01594	0.96057	0.95923	0.01511	0.01679
18.5	0.95762	0.01716	0.9583	0.95693	0.01629	0.01809
19.0	0.95547	0.0185	0.95622	0.95472	0.01761	0.01942
19.5	0.95331	0.01999	0.95407	0.95256	0.0191	0.02097
20.0	0.95101	0.02103	0.95178	0.95023	0.02008	0.02199
20.5	0.94829	0.02239	0.9492	0.94748	0.02142	0.02341
21.0	0.94615	0.02335	0.94701	0.94528	0.02233	0.02449
21.5	0.94369	0.02515	0.94465	0.94276	0.02404	0.0264
22.0	0.94084	0.02565	0.94183	0.93987	0.02449	0.02692
22.5	0.93822	0.02747	0.93935	0.93717	0.02626	0.02867
23.0	0.93533	0.0287	0.93646	0.93417	0.0274	0.02998
23.5	0.93297	0.02985	0.93412	0.93181	0.02855	0.03124
24.0	0.93051	0.03165	0.93176	0.92928	0.03033	0.03297
24.5	0.92825	0.03591	0.92979	0.9268	0.03393	0.03784
25.0	0.92575	0.03774	0.92732	0.92416	0.03566	0.0398
26.0	0.92264	0.04303	0.92425	0.92122	0.04106	0.0445
27.0	0.91693	0.04512	0.91828	0.91579	0.04335	0.0469
28.0	0.9122	0.04879	0.91373	0.91109	0.04681	0.05116
29.0	0.90722	0.05303	0.90885	0.90559	0.05111	0.05545
30.0	0.90203	0.05755	0.90375	0.90039	0.05545	0.05997
31.0	0.89682	0.06223	0.89819	0.89545	0.06017	0.06437
32.0	0.89128	0.06763	0.89357	0.88913	0.06559	0.07025
33.0	0.88565	0.07312	0.88739	0.88355	0.07085	0.07556
