# Optical constants for amorphous SiO2 created by PTB
# Reconstructed from reflection measurements in the wavelength range 5.0 - 24.5 nm
# 50 nm amorphous SiO2 thin film on Si  (measured 2024)
# n = (1-delta) - (i*beta)
# Citation: Q. Saadeh, V. Philipsen, J. Meersschaut, V. S. K. Channam, K.-A. Kantre, A. Sokolov, B. Kupper, T. Wiesner, D. O. García, Z. Salami, C. Buchholz, F. Scholze, and V. Soltwisch, "Optical constants of TiN, amorphous SiO2, and SiN in the extreme ultraviolet range," Appl. Opt. 63(36), 9210-9222 (2024).
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
11.32	0.98092	0.01198	0.98106	0.98077	0.01171	0.01225
11.33	0.98063	0.0124	0.98078	0.98047	0.01212	0.0127
11.34	0.98037	0.01292	0.98054	0.9802	0.01264	0.01321
11.35	0.98018	0.01351	0.98035	0.97999	0.01319	0.01381
11.36	0.98006	0.01416	0.98026	0.97987	0.01385	0.0145
11.37	0.98003	0.01488	0.98023	0.97983	0.01454	0.01521
11.38	0.98009	0.01563	0.98031	0.97986	0.01529	0.01601
11.39	0.98028	0.01644	0.98052	0.98004	0.01607	0.0168
11.4	0.98061	0.01727	0.98088	0.98035	0.01687	0.01765
11.41	0.98105	0.01806	0.98134	0.98077	0.01766	0.01846
11.42	0.98164	0.01883	0.98199	0.98134	0.01841	0.01927
11.43	0.98238	0.01953	0.98272	0.98207	0.01911	0.01999
11.44	0.98326	0.02013	0.98365	0.9829	0.01969	0.02058
11.45	0.98423	0.02058	0.98463	0.98384	0.02015	0.02102
11.46	0.98527	0.02087	0.98569	0.98486	0.02044	0.02131
11.47	0.98632	0.02098	0.98674	0.98587	0.02053	0.0214
11.48	0.98737	0.02093	0.98787	0.98692	0.0205	0.0214
11.49	0.98841	0.02072	0.98889	0.98793	0.02032	0.02115
11.5	0.98936	0.02034	0.98984	0.98891	0.01992	0.02073
11.51	0.99021	0.01983	0.9907	0.98974	0.01946	0.02021
11.52	0.99095	0.01919	0.99147	0.99047	0.01881	0.01959
11.53	0.99154	0.01849	0.99202	0.99109	0.01815	0.01885
11.54	0.99193	0.01766	0.99239	0.99149	0.01735	0.01799
11.55	0.99215	0.0168	0.99255	0.99177	0.01651	0.0171
11.56	0.99217	0.01584	0.99252	0.99183	0.01556	0.01615
11.57	0.99197	0.01487	0.99227	0.99167	0.01461	0.01514
11.58	0.9916	0.0139	0.99187	0.99136	0.01364	0.01416
11.59	0.99111	0.01299	0.99135	0.9909	0.01274	0.01322
11.6	0.99052	0.01218	0.99071	0.99035	0.01195	0.0124
11.61	0.98981	0.0115	0.98997	0.98965	0.01128	0.01173
11.62	0.98899	0.01109	0.98914	0.98885	0.01088	0.01132
11.63	0.9881	0.01107	0.98825	0.98796	0.01086	0.01131
11.64	0.98737	0.01155	0.98753	0.98722	0.01132	0.01179
11.65	0.98702	0.01247	0.9872	0.98685	0.01222	0.01274
11.66	0.98726	0.01349	0.98746	0.98706	0.01322	0.01376
11.67	0.98798	0.01418	0.98821	0.98775	0.0139	0.01447
11.68	0.98866	0.01415	0.9889	0.98843	0.01386	0.01443
11.69	0.98877	0.01351	0.98898	0.98856	0.01323	0.01379
11.7	0.98836	0.01297	0.98855	0.98816	0.01272	0.01324
11.71	0.98801	0.01326	0.98821	0.98781	0.01298	0.01353
11.72	0.98828	0.01421	0.98852	0.98807	0.01392	0.01451
11.73	0.98944	0.01516	0.98973	0.98919	0.01488	0.01548
11.74	0.99112	0.01536	0.99144	0.99081	0.01507	0.01566
11.75	0.99241	0.01431	0.9927	0.99213	0.01406	0.01459
11.76	0.99253	0.0123	0.99276	0.99232	0.01206	0.01257
11.77	0.9919	0.01007	0.99204	0.99176	0.00983	0.0103
11.78	0.99114	0.00858	0.99125	0.99103	0.0084	0.00876
11.79	0.99038	0.00783	0.99047	0.99028	0.00767	0.008
11.8	0.98966	0.00747	0.98976	0.98958	0.0073	0.00764
11.81	0.98906	0.00733	0.98915	0.98897	0.00718	0.00749
11.82	0.98857	0.00729	0.98866	0.98849	0.00713	0.00746
11.83	0.98815	0.00728	0.98824	0.98807	0.00711	0.00744
11.84	0.98779	0.00729	0.98788	0.9877	0.00713	0.00745
11.85	0.98747	0.0073	0.98756	0.98739	0.00714	0.00747
